Ceremony,Won,Film,Director,Birthdate
85,FALSE,Amour,Michael Haneke,"March 23, 1942"
85,FALSE,Beasts of the Southern Wild,Benh Zeitlin,"October 14, 1982"
85,TRUE,Life of Pi,Ang Lee,"October 23, 1954"
85,FALSE,Lincoln,Steven Spielberg,"December 18, 1946"
85,FALSE,Silver Linings Playbook,David O. Russell,"August 20, 1958"
86,FALSE,American Hustle,David O. Russell,"August 20, 1958"
86,TRUE,Gravity,Alfonso Cuaron,"November 28, 1961"
86,FALSE,Nebraska,Alexander Payne,"February 10, 1961"
86,FALSE,12 Years a Slave,Steve McQueen,"October 09, 1969"
86,FALSE,The Wolf of Wall Street,Martin Scorsese,"November 17, 1942"
87,TRUE,Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Inarritu,"August 15, 1963"
87,FALSE,Boyhood,Richard Linklater,"July 30, 1960"
87,FALSE,Foxcatcher,Bennett Miller,"December 30, 1966"
87,FALSE,The Grand Budapest Hotel,Wes Anderson,"May 01, 1969"
87,FALSE,The Imitation Game,Morten Tyldum,"May 19, 1967"
88,FALSE,The Big Short,Adam McKay,"April 17, 1968"
88,FALSE,Mad Max: Fury Road,George Miller,"March 03, 1945"
88,TRUE,The Revenant,Alejandro G. Inarritu,"August 15, 1963"
88,FALSE,Room,Lenny Abrahamson,"November 30, 1966"
88,FALSE,Spotlight,Tom McCarthy,"June 07, 1966"
89,FALSE,Arrival,Denis Villeneuve,"October 03, 1967"
89,FALSE,Hacksaw Ridge,Mel Gibson,"January 03, 1956"
89,TRUE,La La Land,Damien Chazelle,"January 19, 1985"
89,FALSE,Manchester by the Sea,Kenneth Lonergan,"October 16, 1962"
89,FALSE,Moonlight,Barry Jenkins,"November 19, 1979"
90,FALSE,Dunkirk,Christopher Nolan,"July 30, 1970"
90,FALSE,Get Out,Jordan Peele,"February 21, 1979"
90,FALSE,Lady Bird,Greta Gerwig,"August 04, 1983"
90,FALSE,Phantom Thread,Paul Thomas Anderson,"June 26, 1970"
90,TRUE,The Shape of Water,Guillermo del Toro,"October 09, 1964"
91,FALSE,BlacKkKlansman,Spike Lee,"March 20, 1957"
91,FALSE,Cold War,Pawel Pawlikowski,"September 15, 1957"
91,FALSE,The Favourite,Yorgos Lanthimos,"September 23, 1973"
91,TRUE,Roma,Alfonso Cuaron,"November 28, 1961"
91,FALSE,Vice,Adam McKay,"April 17, 1968"
